y1,y2,x2,x3,x4,x5,x4,x7,x8,x9,x10,x11,x12,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ib2,ib3,ib4,ib5,ib6,ib7,ib8,ib9,ib10,ib11,ib12
272.25,1089,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,13.25,13.75,14.25,14.25,14.75,15.25,15.25,15.75,16.5,17.25,17.25,99.1000,99.7000,99.7000,102.5000,99.6000,101.3000,98.6000,98.3000,104.0000,100.4000,97.5000,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1981.8767,2042.9250,2030.7881,1911.5949,1945.5470,1897.0616,1817.8941,1852.2938,1759.3451,1828.1118,1661.1478,44474.0000,41932.0000,39263.0000,36449.0000,36232.0000,37077.0000,36631.0000,36530.0000,40363.0000,37952.0000,38610.0000
264,1056,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,13.25,13.25,13.75,14.25,14.25,14.75,15.25,15.25,15.75,16.5,17.25,97.8000,99.1000,99.7000,99.7000,102.5000,99.6000,101.3000,98.6000,98.3000,104.0000,100.4000,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1894.4486,1981.8767,2042.9250,2030.7881,1911.5949,1945.5470,1897.0616,1817.8941,1852.2938,1759.3451,1828.1118,44642.0000,44474.0000,41932.0000,39263.0000,36449.0000,36232.0000,37077.0000,36631.0000,36530.0000,40363.0000,37952.0000
256.5,1026,2.0955,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,13,13.25,13.25,13.75,14.25,14.25,14.75,15.25,15.25,15.75,16.5,104.7000,97.8000,99.1000,99.7000,99.7000,102.5000,99.6000,101.3000,98.6000,98.3000,104.0000,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1840.1406,1894.4486,1981.8767,2042.9250,2030.7881,1911.5949,1945.5470,1897.0616,1817.8941,1852.2938,1759.3451,43892.0000,44642.0000,44474.0000,41932.0000,39263.0000,36449.0000,36232.0000,37077.0000,36631.0000,36530.0000,40363.0000
268.25,1073,2.0879,2.0955,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,13,13,13.25,13.25,13.75,14.25,14.25,14.75,15.25,15.25,15.75,108.8000,104.7000,97.8000,99.1000,99.7000,99.7000,102.5000,99.6000,101.3000,98.6000,98.3000,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,2031.0000,1840.1406,1894.4486,1981.8767,2042.9250,2030.7881,1911.5949,1945.5470,1897.0616,1817.8941,1852.2938,45805.0000,43892.0000,44642.0000,44474.0000,41932.0000,39263.0000,36449.0000,36232.0000,37077.0000,36631.0000,36530.0000
255.25,1021,2.0312,2.0879,2.0955,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,12.75,13,13,13.25,13.25,13.75,14.25,14.25,14.75,15.25,15.25,111.3000,108.8000,104.7000,97.8000,99.1000,99.7000,99.7000,102.5000,99.6000,101.3000,98.6000,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1987.4934,2031.0000,1840.1406,1894.4486,1981.8767,2042.9250,2030.7881,1911.5949,1945.5470,1897.0616,1817.8941,48956.0000,45805.0000,43892.0000,44642.0000,44474.0000,41932.0000,39263.0000,36449.0000,36232.0000,37077.0000,36631.0000
242.25,969,1.9808,2.0312,2.0879,2.0955,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,12.5,12.75,13,13,13.25,13.25,13.75,14.25,14.25,14.75,15.25,110.5000,111.3000,108.8000,104.7000,97.8000,99.1000,99.7000,99.7000,102.5000,99.6000,101.3000,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,2060.4356,1987.4934,2031.0000,1840.1406,1894.4486,1981.8767,2042.9250,2030.7881,1911.5949,1945.5470,1897.0616,52268.0000,48956.0000,45805.0000,43892.0000,44642.0000,44474.0000,41932.0000,39263.0000,36449.0000,36232.0000,37077.0000
233.5,934,1.9311,1.9808,2.0312,2.0879,2.0955,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,12.5,12.5,12.75,13,13,13.25,13.25,13.75,14.25,14.25,14.75,110.2000,110.5000,111.3000,108.8000,104.7000,97.8000,99.1000,99.7000,99.7000,102.5000,99.6000,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,2025.0962,2060.4356,1987.4934,2031.0000,1840.1406,1894.4486,1981.8767,2042.9250,2030.7881,1911.5949,1945.5470,54392.0000,52268.0000,48956.0000,45805.0000,43892.0000,44642.0000,44474.0000,41932.0000,39263.0000,36449.0000,36232.0000
217.5,870,1.8820,1.9311,1.9808,2.0312,2.0879,2.0955,2.1377,2.1491,2.1571,2.1475,2.1679,12,12.5,12.5,12.75,13,13,13.25,13.25,13.75,14.25,14.25,113.0000,110.2000,110.5000,111.3000,108.8000,104.7000,97.8000,99.1000,99.7000,99.7000,102.5000,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,2081.2528,2025.0962,2060.4356,1987.4934,2031.0000,1840.1406,1894.4486,1981.8767,2042.9250,2030.7881,1911.5949,54183.0000,54392.0000,52268.0000,48956.0000,45805.0000,43892.0000,44642.0000,44474.0000,41932.0000,39263.0000,36449.0000
214,856,1.9652,1.8820,1.9311,1.9808,2.0312,2.0879,2.0955,2.1377,2.1491,2.1571,2.1475,11.5,12,12.5,12.5,12.75,13,13,13.25,13.25,13.75,14.25,113.2000,113.0000,110.2000,110.5000,111.3000,108.8000,104.7000,97.8000,99.1000,99.7000,99.7000,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,2099.2910,2081.2528,2025.0962,2060.4356,1987.4934,2031.0000,1840.1406,1894.4486,1981.8767,2042.9250,2030.7881,54637.0000,54183.0000,54392.0000,52268.0000,48956.0000,45805.0000,43892.0000,44642.0000,44474.0000,41932.0000,39263.0000
197,788,1.8988,1.9652,1.8820,1.9311,1.9808,2.0312,2.0879,2.0955,2.1377,2.1491,2.1571,11.5,11.5,12,12.5,12.5,12.75,13,13,13.25,13.25,13.75,114.5000,113.2000,113.0000,110.2000,110.5000,111.3000,108.8000,104.7000,97.8000,99.1000,99.7000,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,2034.3011,2099.2910,2081.2528,2025.0962,2060.4356,1987.4934,2031.0000,1840.1406,1894.4486,1981.8767,2042.9250,60465.0000,54637.0000,54183.0000,54392.0000,52268.0000,48956.0000,45805.0000,43892.0000,44642.0000,44474.0000,41932.0000
190.25,761,1.8002,1.8988,1.9652,1.8820,1.9311,1.9808,2.0312,2.0879,2.0955,2.1377,2.1491,11.25,11.5,11.5,12,12.5,12.5,12.75,13,13,13.25,13.25,114.8000,114.5000,113.2000,113.0000,110.2000,110.5000,111.3000,108.8000,104.7000,97.8000,99.1000,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,2195.6113,2034.3011,2099.2910,2081.2528,2025.0962,2060.4356,1987.4934,2031.0000,1840.1406,1894.4486,1981.8767,65318.0000,60465.0000,54637.0000,54183.0000,54392.0000,52268.0000,48956.0000,45805.0000,43892.0000,44642.0000,44474.0000
179.5,718,1.7691,1.8002,1.8988,1.9652,1.8820,1.9311,1.9808,2.0312,2.0879,2.0955,2.1377,11.25,11.25,11.5,11.5,12,12.5,12.5,12.75,13,13,13.25,111.0000,114.8000,114.5000,113.2000,113.0000,110.2000,110.5000,111.3000,108.8000,104.7000,97.8000,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,2166.6325,2195.6113,2034.3011,2099.2910,2081.2528,2025.0962,2060.4356,1987.4934,2031.0000,1840.1406,1894.4486,63006.0000,65318.0000,60465.0000,54637.0000,54183.0000,54392.0000,52268.0000,48956.0000,45805.0000,43892.0000,44642.0000
166.75,667,1.7852,1.7691,1.8002,1.8988,1.9652,1.8820,1.9311,1.9808,2.0312,2.0879,2.0955,11.25,11.25,11.25,11.5,11.5,12,12.5,12.5,12.75,13,13,109.1000,111.0000,114.8000,114.5000,113.2000,113.0000,110.2000,110.5000,111.3000,108.8000,104.7000,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,2100.3442,2166.6325,2195.6113,2034.3011,2099.2910,2081.2528,2025.0962,2060.4356,1987.4934,2031.0000,1840.1406,63886.0000,63006.0000,65318.0000,60465.0000,54637.0000,54183.0000,54392.0000,52268.0000,48956.0000,45805.0000,43892.0000
180.5,722,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.8820,1.9311,1.9808,2.0312,2.0879,11.25,11.25,11.25,11.25,11.5,11.5,12,12.5,12.5,12.75,13,107.3000,109.1000,111.0000,114.8000,114.5000,113.2000,113.0000,110.2000,110.5000,111.3000,108.8000,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,2050.2686,2100.3442,2166.6325,2195.6113,2034.3011,2099.2910,2081.2528,2025.0962,2060.4356,1987.4934,2031.0000,59490.0000,63886.0000,63006.0000,65318.0000,60465.0000,54637.0000,54183.0000,54392.0000,52268.0000,48956.0000,45805.0000
190.5,762,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.8820,1.9311,1.9808,2.0312,11.25,11.25,11.25,11.25,11.25,11.5,11.5,12,12.5,12.5,12.75,109.7000,107.3000,109.1000,111.0000,114.8000,114.5000,113.2000,113.0000,110.2000,110.5000,111.3000,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,2034.0535,2050.2686,2100.3442,2166.6325,2195.6113,2034.3011,2099.2910,2081.2528,2025.0962,2060.4356,1987.4934,63489.0000,59490.0000,63886.0000,63006.0000,65318.0000,60465.0000,54637.0000,54183.0000,54392.0000,52268.0000,48956.0000
209.25,837,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.8820,1.9311,1.9808,11.25,11.25,11.25,11.25,11.25,11.25,11.5,11.5,12,12.5,12.5,112.2000,109.7000,107.3000,109.1000,111.0000,114.8000,114.5000,113.2000,113.0000,110.2000,110.5000,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,2158.7619,2034.0535,2050.2686,2100.3442,2166.6325,2195.6113,2034.3011,2099.2910,2081.2528,2025.0962,2060.4356,60968.0000,63489.0000,59490.0000,63886.0000,63006.0000,65318.0000,60465.0000,54637.0000,54183.0000,54392.0000,52268.0000
217,868,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.8820,1.9311,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.5,11.5,12,12.5,112.0000,112.2000,109.7000,107.3000,109.1000,111.0000,114.8000,114.5000,113.2000,113.0000,110.2000,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,2200.1521,2158.7619,2034.0535,2050.2686,2100.3442,2166.6325,2195.6113,2034.3011,2099.2910,2081.2528,2025.0962,67868.0000,60968.0000,63489.0000,59490.0000,63886.0000,63006.0000,65318.0000,60465.0000,54637.0000,54183.0000,54392.0000
208.75,835,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.8820,11.75,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.5,11.5,12,112.0000,112.0000,112.2000,109.7000,107.3000,109.1000,111.0000,114.8000,114.5000,113.2000,113.0000,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,2207.1373,2200.1521,2158.7619,2034.0535,2050.2686,2100.3442,2166.6325,2195.6113,2034.3011,2099.2910,2081.2528,72593.0000,67868.0000,60968.0000,63489.0000,59490.0000,63886.0000,63006.0000,65318.0000,60465.0000,54637.0000,54183.0000
185.75,743,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,11.75,11.75,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.5,11.5,114.1000,112.0000,112.0000,112.2000,109.7000,107.3000,109.1000,111.0000,114.8000,114.5000,113.2000,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,2234.7200,2207.1373,2200.1521,2158.7619,2034.0535,2050.2686,2100.3442,2166.6325,2195.6113,2034.3011,2099.2910,65018.0000,72593.0000,67868.0000,60968.0000,63489.0000,59490.0000,63886.0000,63006.0000,65318.0000,60465.0000,54637.0000
183.75,735,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,12.25,11.75,11.75,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.5,113.7000,114.1000,112.0000,112.0000,112.2000,109.7000,107.3000,109.1000,111.0000,114.8000,114.5000,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,2315.9151,2234.7200,2207.1373,2200.1521,2158.7619,2034.0535,2050.2686,2100.3442,2166.6325,2195.6113,2034.3011,59505.0000,65018.0000,72593.0000,67868.0000,60968.0000,63489.0000,59490.0000,63886.0000,63006.0000,65318.0000,60465.0000
177.75,711,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,13,12.25,11.75,11.75,11.25,11.25,11.25,11.25,11.25,11.25,11.25,116.0000,113.7000,114.1000,112.0000,112.0000,112.2000,109.7000,107.3000,109.1000,111.0000,114.8000,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,2287.0729,2315.9151,2234.7200,2207.1373,2200.1521,2158.7619,2034.0535,2050.2686,2100.3442,2166.6325,2195.6113,55680.0000,59505.0000,65018.0000,72593.0000,67868.0000,60968.0000,63489.0000,59490.0000,63886.0000,63006.0000,65318.0000
179.25,717,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,13,13,12.25,11.75,11.75,11.25,11.25,11.25,11.25,11.25,11.25,111.4000,116.0000,113.7000,114.1000,112.0000,112.0000,112.2000,109.7000,107.3000,109.1000,111.0000,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,2317.8807,2287.0729,2315.9151,2234.7200,2207.1373,2200.1521,2158.7619,2034.0535,2050.2686,2100.3442,2166.6325,49541.0000,55680.0000,59505.0000,65018.0000,72593.0000,67868.0000,60968.0000,63489.0000,59490.0000,63886.0000,63006.0000
184.5,738,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,13.75,13,13,12.25,11.75,11.75,11.25,11.25,11.25,11.25,11.25,100.9000,111.4000,116.0000,113.7000,114.1000,112.0000,112.0000,112.2000,109.7000,107.3000,109.1000,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,2411.9546,2317.8807,2287.0729,2315.9151,2234.7200,2207.1373,2200.1521,2158.7619,2034.0535,2050.2686,2100.3442,37257.0000,49541.0000,55680.0000,59505.0000,65018.0000,72593.0000,67868.0000,60968.0000,63489.0000,59490.0000,63886.0000
164.25,657,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,13.75,13.75,13,13,12.25,11.75,11.75,11.25,11.25,11.25,11.25,83.8000,100.9000,111.4000,116.0000,113.7000,114.1000,112.0000,112.0000,112.2000,109.7000,107.3000,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2296.5094,2411.9546,2317.8807,2287.0729,2315.9151,2234.7200,2207.1373,2200.1521,2158.7619,2034.0535,2050.2686,36596.0000,37257.0000,49541.0000,55680.0000,59505.0000,65018.0000,72593.0000,67868.0000,60968.0000,63489.0000,59490.0000
165.75,663,2.3936,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,13.75,13.75,13.75,13,13,12.25,11.75,11.75,11.25,11.25,11.25,74.9000,83.8000,100.9000,111.4000,116.0000,113.7000,114.1000,112.0000,112.0000,112.2000,109.7000,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,2177.1702,2296.5094,2411.9546,2317.8807,2287.0729,2315.9151,2234.7200,2207.1373,2200.1521,2158.7619,2034.0535,37550.0000,36596.0000,37257.0000,49541.0000,55680.0000,59505.0000,65018.0000,72593.0000,67868.0000,60968.0000,63489.0000
169.5,678,2.3066,2.3936,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,13.75,13.75,13.75,13.75,13,13,12.25,11.75,11.75,11.25,11.25,75.4000,74.9000,83.8000,100.9000,111.4000,116.0000,113.7000,114.1000,112.0000,112.0000,112.2000,1675600.0590,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,2052.6977,2177.1702,2296.5094,2411.9546,2317.8807,2287.0729,2315.9151,2234.7200,2207.1373,2200.1521,2158.7619,39301.0000,37550.0000,36596.0000,37257.0000,49541.0000,55680.0000,59505.0000,65018.0000,72593.0000,67868.0000,60968.0000
172.5,690,2.3119,2.3066,2.3936,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,12.75,13.75,13.75,13.75,13.75,13,13,12.25,11.75,11.75,11.25,78.3000,75.4000,74.9000,83.8000,100.9000,111.4000,116.0000,113.7000,114.1000,112.0000,112.0000,1653418.6480,1675600.0590,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,2024.2170,2052.6977,2177.1702,2296.5094,2411.9546,2317.8807,2287.0729,2315.9151,2234.7200,2207.1373,2200.1521,38183.0000,39301.0000,37550.0000,36596.0000,37257.0000,49541.0000,55680.0000,59505.0000,65018.0000,72593.0000,67868.0000
